"StichtagDatJahr","DatenstandCd","QuarSort","QuarCd","QuarLang","KreisSort","KreisCd","KreisLang","EigentuemerSSZPubl1Sort","EigentuemerSSZPubl1Cd","EigentuemerSSZPubl1Lang","AnzZimmerLevel2Sort_noDM","AnzZimmerLevel2Cd_noDM","AnzZimmerLevel2Lang_noDM","AnzWhgStat"
2010,"D",24,"024","Enge",2,"2","Kreis 2",3,"3","Übrige private Gesellschaften",3,"3","3-Zimmer",603
2010,"D",24,"024","Enge",2,"2","Kreis 2",3,"3","Übrige private Gesellschaften",4,"4","4-Zimmer",444
2010,"D",24,"024","Enge",2,"2","Kreis 2",3,"3","Übrige private Gesellschaften",5,"5","5-Zimmer",144
2010,"D",24,"024","Enge",2,"2","Kreis 2",3,"3","Übrige private Gesellschaften",6,"6","6-Zimmer und mehr",76
2010,"D",24,"024","Enge",2,"2","Kreis 2",4,"4","Natürliche Personen",1,"1","1-Zimmer",292
2010,"D",24,"024","Enge",2,"2","Kreis 2",4,"4","Natürliche Personen",2,"2","2-Zimmer",427
2010,"D",24,"024","Enge",2,"2","Kreis 2",4,"4","Natürliche Personen",3,"3","3-Zimmer",658
2010,"D",24,"024","Enge",2,"2","Kreis 2",4,"4","Natürliche Personen",4,"4","4-Zimmer",509
2010,"D",24,"024","Enge",2,"2","Kreis 2",4,"4","Natürliche Personen",5,"5","5-Zimmer",265
2010,"D",24,"024","Enge",2,"2","Kreis 2",4,"4","Natürliche Personen",6,"6","6-Zimmer und mehr",152
2010,"D",24,"024","Enge",2,"2","Kreis 2",5,"5","Im Stockwerkeigentum",1,"1","1-Zimmer",61
2010,"D",24,"024","Enge",2,"2","Kreis 2",5,"5","Im Stockwerkeigentum",2,"2","2-Zimmer",66
2010,"D",24,"024","Enge",2,"2","Kreis 2",5,"5","Im Stockwerkeigentum",3,"3","3-Zimmer",85
2010,"D",24,"024","Enge",2,"2","Kreis 2",5,"5","Im Stockwerkeigentum",4,"4","4-Zimmer",141
